"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)",label
05-12-22,13:15:39,139792,0.296881006,0.754173523,10.50815109,0.053435115,-0.740458015,-1.099236641,0
05-12-22,13:15:39,349851,-0.12928689,-0.016759412,9.435548743,0.34351145,0.351145038,-1.091603053,0
05-12-22,13:15:39,559995,0.928950244,0.529118567,9.30147345,0.473282443,0.320610687,-0.603053435,0
05-12-22,13:15:39,771442,0.191536133,-0.146046301,9.579200842,0.160305344,-1.809160305,-1.465648855,0
05-12-22,13:15:39,982484,-0.105344873,-0.095768066,9.765948572,0.13740458,-1.229007634,-1.267175573,0
05-12-22,13:15:40,192421,-0.079008655,0.337582434,9.842563025,0.198473282,-0.244274809,-1.702290076,0
05-12-22,13:15:40,400426,-0.177170923,0.155623108,9.828197815,0.213740458,-0.687022901,-1.709923664,0
05-12-22,13:15:40,608546,-0.993593689,0.639251843,9.540893616,0.06870229,-1.41221374,-2.145038168,0
05-12-22,13:15:40,817066,-1.525106458,0.428562097,10.34295117,-0.053435115,-2.389312977,-1.694656489,0
05-12-22,13:15:41,25953,-0.122104285,0.641646045,9.572018237,0.022900763,-0.175572519,-1.038167939,0
05-12-22,13:15:41,234361,0.404620081,0.804451758,9.770736975,-0.099236641,-1.671755725,-1.633587786,0
05-12-22,13:15:41,443436,0.306457813,0.304063611,9.70609353,0.061068702,-1.167938931,-1.72519084,0
05-12-22,13:15:41,652672,1.151610999,0.136469495,9.485826978,-0.175572519,-0.320610687,-1.526717557,0
05-12-22,13:15:41,862084,1.537077466,0.239420166,9.265560425,0.091603053,-0.34351145,-0.954198473,0
05-12-22,13:15:42,71477,0.746990918,0.617704028,9.387664709,0.167938931,0.458015267,-0.465648855,0
05-12-22,13:15:42,281029,0.074220251,0.241814368,9.873687646,0.160305344,-1.961832061,-0.770992366,0
05-12-22,13:15:42,490466,-0.500388147,1.256955872,9.490615381,-0.022900763,-1.190839695,-1.442748092,0
