"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)",label
05-12-22,16:58:08,961355,4.261678955,1.235408057,11.57835923,-0.198473282,2.190839695,-0.083969466,0
05-12-22,16:58:09,173344,4.328716602,0.840364783,8.896853369,0.183206107,3.702290076,-2.122137405,0
05-12-22,16:58:09,385342,2.528276953,-0.727837305,7.680598926,0.419847328,3.282442748,0.06870229,0
05-12-22,16:58:09,597567,-3.354276526,2.078167041,14.89432853,0.183206107,-6.709923664,-2.183206107,0
05-12-22,16:58:09,809555,4.750096094,-0.335188232,10.59434235,0.58778626,2.732824427,-1.045801527,0
05-12-22,16:58:10,22004,3.51947644,0.761356128,8.995015637,-0.061068702,3.450381679,0.290076336,0
05-12-22,16:58:10,235825,3.892971899,-0.081402856,9.689334119,0.297709924,1.732824427,-0.603053435,0
05-12-22,16:58:10,448939,-1.015141504,0.598550415,12.33492695,0.381679389,-5.58778626,-1.549618321,0
05-12-22,16:58:10,660837,-1.103726965,0.639251843,11.57117662,0.083969466,-4.297709924,-1.381679389,0
05-12-22,16:58:10,872684,-2.664746448,0.416591089,12.96939039,0.290076336,-4.992366412,-0.190839695,0
05-12-22,16:58:11,85013,-0.818816968,0.500388147,11.35091007,0.236641221,0.145038168,-0.145038168,0
05-12-22,16:58:11,297006,1.28329209,0.287304199,8.760383875,0.06870229,1.427480916,0.603053435,0
05-12-22,16:58:11,509011,2.231395947,0.821211169,7.141903552,0.053435115,2.335877863,0.564885496,0
05-12-22,16:58:11,721043,1.321599316,0.258573779,8.051700183,0.190839695,2.549618321,0.190839695,0
05-12-22,16:58:11,932664,3.107673755,0.459686719,6.524199524,0.091603053,3.564885496,0.511450382,0
05-12-22,16:58:12,144441,2.00394679,0.378283862,7.553706238,0.076335878,2.748091603,0.374045802,0
05-12-22,16:58:12,356770,2.073378638,0.545877979,6.991068848,0.267175573,1.885496183,0.786259542,0
05-12-22,16:58:12,569217,0.421379492,0.229843359,10.01494554,0.221374046,-2.564885496,-1.41221374,0
05-12-22,16:58:12,781142,-1.228225452,0.694318481,12.33732115,0.083969466,-2.778625954,-0.366412214,0
05-12-22,16:58:12,993564,-0.363918652,0.708683691,11.79144318,0,0.297709924,-2.267175573,0
05-12-22,16:58:13,205534,2.446874097,0.46208092,9.141061938,-0.145038168,2.916030534,-1.900763359,0
05-12-22,16:58:13,418049,3.098096948,-0.497993945,7.515399011,-1.893129771,3.732824427,-3.229007634,0
05-12-22,16:58:13,630944,0.730231506,0.612915625,11.84890402,0.099236641,-2.465648855,-1.122137405,0
05-12-22,16:58:13,842951,-0.847547388,0.138863696,10.5249105,0.213740458,-2.015267176,-1.435114504,0
05-12-22,16:58:14,55969,2.401384265,-0.325611426,8.602366565,0.20610687,1.259541985,-2.961832061,0
05-12-22,16:58:14,269002,-0.311246216,0.615309827,9.485826978,0.244274809,-1.694656489,0.366412214,0
05-12-22,16:58:14,481732,-1.886630908,1.848323682,10.46984386,-0.297709924,-2.603053435,-2.145038168,0
05-12-22,16:58:14,694741,8.322244971,-2.674323254,1.381454358,-0.259541985,9.977099237,-2.519083969,0
05-12-22,16:58:14,907916,0.624886633,0.277727393,9.988609326,0.022900763,-0.13740458,-0.625954198,0
05-12-22,16:58:15,119575,1.307234106,-2.128445276,11.44667814,0.129770992,-2.053435115,0.312977099,0
05-12-22,16:58:15,332686,-0.972045874,-2.044648218,13.56794081,0.396946565,-4.977099237,0.099236641,0
05-12-22,16:58:15,544755,1.134851587,1.352723938,8.192958081,-0.13740458,4.282442748,-0.198473282,0
05-12-22,16:58:15,756599,1.479616626,-1.24019646,6.459556079,-0.290076336,1.335877863,-3.511450382,0
05-12-22,16:58:15,969245,-0.529118567,0.05746084,11.36527528,0.27480916,-1.404580153,-0.076335878,0
05-12-22,16:58:16,182344,-3.610456104,5.647921716,13.94383047,-0.022900763,-6.694656489,4.290076336,0
05-12-22,16:58:16,394972,0.737414111,0.488417139,9.90720647,-0.007633588,0.053435115,-1.038167939,0
05-12-22,16:58:16,607362,-3.411737366,-0.138863696,14.05875215,0.213740458,-6.091603053,-1.34351145,0
05-12-22,16:58:16,819792,4.029441394,0.512359155,6.703764648,0.083969466,4.541984733,-0.374045802,0
05-12-22,16:58:17,33174,2.195482922,1.223437048,10.02931075,-0.061068702,3.27480916,0.801526718,0
05-12-22,16:58:17,244784,0.344765039,0.500388147,9.967061511,0.122137405,-0.06870229,-0.564885496,0
05-12-22,16:58:17,456943,-0.756567725,1.051054529,9.107543115,-0.175572519,-1.106870229,-1.648854962,0
05-12-22,16:58:17,668960,1.503558643,0.021547815,9.31583866,0.099236641,-0.229007634,0.259541985,0
